TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output,Unnamed: 11,TimeStamp.1,Position.1,TimeShift
5.4,9.999237,8.68,0.0,2.731918,7.08963,1.316854,8.287175,-0.273136,0.001526,8.012512,,5.4,8.68,0.40000000000000036
5.41,9.999237,8.68,0.0,2.708888,7.135521,1.316854,8.287175,-0.239567,0.001526,8.046082,,5.41,8.68,0.41000000000000014
5.42,9.999237,8.68,0.0,2.616769,7.135521,1.316854,8.287175,-0.209049,0.001526,8.0766,,5.42,8.68,0.41999999999999993
5.43,9.999237,8.68,0.0,2.639798,7.183734,1.316854,8.287175,-0.175479,0.001526,8.11017,,5.43,8.68,0.4299999999999997
5.44,9.999237,8.68,0.0,2.639798,7.18138,1.316854,8.287175,-0.141909,0.001526,8.14374,,5.44,8.68,0.4400000000000004
5.45,9.999237,8.68,0.0,2.639798,7.236686,1.316854,8.287175,-0.108339,0.001526,8.17731,,5.45,8.68,0.4500000000000002
5.46,9.999237,8.68,0.0,2.731918,7.231947,1.316854,8.287175,-0.077821,0.001526,8.207828,,5.46,8.68,0.45999999999999996
5.47,9.999237,8.68,0.0,2.685858,7.277775,1.316854,8.287175,-0.044251,0.001526,8.241398,,5.47,8.68,0.46999999999999975
5.48,9.999237,8.68,0.0,2.754948,7.330774,1.316854,8.287175,-0.010681,0.001526,8.274968,,5.48,8.68,0.4800000000000004
5.49,9.999237,8.68,0.0,2.708888,7.328373,1.316854,8.287175,0.022889,0.001526,8.308537,,5.49,8.68,0.4900000000000002
5.5,9.999237,8.68,0.0,2.708888,7.38142,1.316854,8.287175,0.056458,0.001526,8.342107,,5.5,8.68,0.5
