TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output
2.67,-14.998093,-27.3,-6.5,5.458078,6.664147,12.303349,11.07042,-10.83238,7.020676,7.255665
2.68,-14.998093,-29.64,-5.75,7.907881,8.852374,14.641032,13.176165,-9.797818,6.312657,9.687953
2.69,-14.998093,-31.66,-4.875,12.505218,10.831341,16.661326,14.995041,-8.592355,5.4551,11.854734
2.7,-14.998093,-33.26,-3.625,14.655632,12.321892,18.260472,16.432441,-7.249561,4.316777,13.496605
2.71,-14.998093,-34.4,-2.375,16.031666,13.464649,19.401846,17.460899,-5.803006,3.080797,14.735637
2.72,-14.998093,-35.06,-1.25,16.725441,14.214442,20.061036,18.052949,-4.283207,1.780728,15.547417
2.73,-14.998093,-35.18,0.125,15.870457,14.399789,20.183108,18.162814,-2.735943,0.331121,15.75494
2.74,-14.998093,-34.9,1,12.985966,14.612049,19.902342,17.909514,-1.194781,-0.755322,15.956359
2.75,-14.998093,-34.28,1.75,13.460957,14.616693,19.282826,17.354086,0.309758,-1.670863,15.989929
2.76,-14.998093,-33.36,2.5,11.926592,14.467543,18.361181,16.523995,1.756313,-2.485695,15.791562
2.77,-14.998093,-32.18,3.125,10.337531,14.056399,17.183185,15.465019,3.123522,-3.178454,15.407034
2.78,-14.998093,-30.78,3.625,8.762864,13.531521,15.782406,14.201572,4.390021,-3.77966,14.808881
2.79,-14.998093,-29.26,3.875,6.831234,13.067168,14.262608,12.834363,5.546654,-4.100099,14.277867
2.8,-14.998093,-27.6,4.25,5.956099,12.287815,12.602426,11.342031,6.581216,-4.478523,13.441672
2.81,-14.998093,-25.88,4.375,4.620367,11.534261,10.881209,9.791714,7.481498,-4.64332,12.626841
2.82,-14.998093,-24.1,4.5,4.041742,10.642742,9.102007,8.189517,8.250553,-4.802014,11.635004
2.83,-14.998093,-22.28,4.625,3.70493,9.651158,7.283131,6.55375,8.882277,-4.908827,10.524147
2.84,-14.998093,-20.46,4.5,3.247211,8.556697,5.461204,4.914931,9.370565,-4.914931,9.367514
2.85,-14.998093,-18.62,4.5,2.967974,7.315313,3.620966,3.257801,9.721523,-4.966812,8.009461
2.86,-14.998093,-16.78,4.625,2.349046,6.017625,1.780728,1.600671,9.929046,-4.966812,6.559854
2.87,-14.998093,-14.96,4.5,1.511335,4.626586,-0.038148,-0.032044,9.996185,-4.908827,5.052262
2.88,-14.998093,-13.18,4.375,0.79453,3.178832,-1.81735,-1.634241,9.922942,-4.802014,3.483635
2.89,-14.998093,-11.46,4.25,0.037424,1.738977,-3.538567,-3.184558,9.718471,-4.64332,1.887541
2.9,-14.998093,-9.82,4,-0.558474,0.29811,-5.177386,-4.658579,9.382773,-4.420539,0.300603
2.91,-14.998093,-8.26,3.875,-1.234977,-1.241731,-6.736858,-6.062409,8.925002,-4.206912,-1.347372
2.92,-14.998093,-6.84,3.5,-2.029507,-2.582801,-8.158999,-7.341115,8.351263,-3.837644,-2.830549
2.93,-14.998093,-5.52,3.25,-2.487226,-4.025769,-9.477379,-8.528267,7.673762,-3.556878,-4.414435
2.94,-14.998093,-4.38,2.75,-3.025549,-5.269964,-10.618753,-9.556725,6.898604,-3.077745,-5.738918
2.95,-14.998093,-3.36,2.375,-3.362361,-6.556341,-11.638056,-10.472267,6.044099,-2.74815,-7.17937
2.96,-14.998093,-2.52,2,-3.860381,-7.646784,-12.477302,-11.229114,5.11635,-2.262913,-8.378729
2.97,-14.998093,-1.86,1.5,-4.395826,-8.64245,-13.139544,-11.824216,4.130617,-1.78378,-9.48043
2.98,-14.998093,-1.4,1,-5.075207,-9.486827,-13.597314,-12.23621,3.102159,-1.234455,-10.371557
2.99,-14.998093,-1.16,0.5,-5.711407,-10.086065,-13.838407,-12.452888,2.046235,-0.648508,-11.058213
3,-14.998093,-1.14,-0.125,-6.051098,-10.533231,-13.856718,-12.468147,0.981155,-0.047303,-11.537346
3.01,-14.998093,-1.32,-0.625,-5.987765,-10.881026,-13.676661,-12.306401,-0.074769,0.486763,-11.897459
3.02,-14.998093,-1.66,-1,-6.387909,-11.175582,-13.337911,-12.001221,-1.115435,0.914015,-12.205692
3.03,-14.998093,-2.16,-1.375,-6.687298,-11.278506,-12.837415,-11.552605,-2.119478,1.350423,-12.324712
3.04,-14.998093,-2.8,-1.75,-6.707449,-11.278506,-12.199588,-10.978866,-3.083848,1.722744,-12.343023
3.05,-14.998093,-3.56,-2,-5.947463,-11.179136,-11.436637,-10.29221,-3.993286,2.061494,-12.227054
3.06,-14.998093,-4.44,-2.25,-5.633681,-10.930711,-10.557717,-9.501793,-4.838636,2.372778,-11.970703
3.07,-14.998093,-5.42,-2.5,-4.9543,-10.58628,-9.578088,-8.619821,-5.613794,2.644388,-11.592279
3.08,-14.998093,-6.48,-2.75,-4.156891,-10.185435,-8.519112,-7.664607,-6.309606,2.858015,-11.119249
3.09,-14.998093,-7.58,-2.75,-3.739475,-9.688585,-7.417411,-6.67277,-6.923018,2.973983,-10.624857
3.1,-14.998093,-8.74,-2.875,-3.581144,-9.101037,-6.257725,-5.629053,-7.447929,3.132677,-9.947356
3.11,-14.998093,-9.94,-3,-3.284635,-8.394104,-5.058366,-4.551766,-7.884337,3.23949,-9.199664
3.12,-14.998093,-11.16,-3.125,-2.86434,-7.651498,-3.837644,-3.453117,-8.226139,3.297475,-8.384833
3.13,-14.998093,-12.38,-3,-2.706009,-6.906222,-2.616922,-2.354467,-8.476387,3.297475,-7.536431
