TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output			9.9	-1	2.5	-9.9
291.42	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.72	-1	3	10.72
291.43	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.68	-1	3.01	10.68
291.44	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.62	-1	3.02	10.62
291.45	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.6	-1	3.03	10.6
291.46	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.6	-1	3.04	10.6
291.47	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.6	-1	3.05	10.6
291.48	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.6	-1	3.06	10.6
291.49	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.6	-1	3.07	10.6
291.5	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.6	-1	3.08	10.6
291.51	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.6	-1	3.09	10.6
291.52	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.58	-1	3.1	10.58
291.53	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.58	-1	3.11	10.58
291.54	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.58	-1	3.11	10.58
291.55	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.54	-1	3.12	10.54
291.56	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.52	-1	3.13	10.52
291.57	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.48	-1	3.14	10.48
291.58	0.001526	0	0	0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.44	-1	3.15	10.44
291.59	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.42	-1	3.16	10.42
291.6	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.42	-1	3.17	10.42
291.61	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.4	-1	3.18	10.4
291.62	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.38	-1	3.19	10.38
291.63	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.36	-1	3.2	10.36
291.64	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.34	-1	3.21	10.34
291.65	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.32	-1	3.22	10.32
291.66	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.28	-1	3.23	10.28
291.67	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.22	-1	3.24	10.22
291.68	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.18	-1	3.25	10.18
291.69	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.12	-1	3.26	10.12
291.69	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.06	-1	3.27	10.06
291.7	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.06	-1	3.27	10.06
291.71	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-10.02	-1	3.28	10.02
291.72	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.98	-1	3.29	9.98
291.73	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.96	-1	3.3	9.96
291.74	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.92	-1	3.31	9.92
