TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta Err.,PID Output
2.8,-14.998093,-20.4,-7.875,18.487226,16.830922,5.40322,10.804913,7.591363,0.001526,18.394751
2.81,-14.998093,-22.98,-5.875,28.274919,21.527307,7.981994,15.962463,7.591363,0.001526,23.5523
2.82,-14.998093,-24.5,-3.125,33.338611,24.273298,9.501793,19.00206,7.591363,0.001526,26.591897
2.83,-14.998093,-24.86,-0.25,33.758906,24.968239,9.861906,19.722286,7.591363,0.001526,27.312123
2.84,-14.998093,-24.08,2.625,31.648795,23.558202,9.080644,18.159762,7.591363,0.001526,25.749599
2.85,-14.998093,-22.38,5,24.138179,20.433541,7.380789,14.760052,7.591363,0.001526,22.349889
2.86,-14.998093,-20.02,6.5,14.97805,16.118429,5.021744,10.041962,7.591363,0.001526,17.6318
2.87,-14.998093,-17.28,7.25,6.079885,11.154221,2.281224,4.560922,7.591363,0.001526,12.150759
2.88,-14.998093,-14.44,7.375,2.415257,5.92568,-0.556954,-1.115435,7.591363,0.001526,6.474403
2.89,-14.998093,-11.64,7.125,0.210148,0.796477,-3.358511,-6.718547,7.591363,0.001526,0.87129
2.9,-14.998093,-8.94,6.625,-1.721483,-4.136971,-6.059358,-12.120241,7.591363,0.001526,-4.530404
2.91,-14.998093,-6.4,6,-3.693415,-8.824836,-8.598459,-17.198444,7.591363,0.001526,-9.608606
2.92,-14.998093,-4.16,5.125,-10.752069,-12.901159,-10.838483,-21.678492,7.591363,0.001526,-14.088655
2.93,-14.998093,-2.4,4,-16.47787,-16.128665,-12.599374,-25.200275,7.591363,0.001526,-17.610437
2.94,-14.998093,-1.3,2.375,-19.264484,-18.125609,-13.698024,-27.397574,7.591363,0.001526,-19.807736
2.95,-14.998093,-0.94,0.5,-20.721123,-18.816776,-14.058137,-28.1178,7.591363,0.001526,-20.527962
2.96,-14.998093,-1.3,-1.375,-19.468874,-18.119859,-13.698024,-27.397574,7.591363,0.001526,-19.807736
2.97,-14.998093,-2.26,-2.875,-15.8647,-16.377565,-12.736706,-25.474937,7.591363,0.001526,-17.8851
2.98,-14.998093,-3.66,-3.875,-10.167686,-13.825619,-11.338979,-22.679484,7.591363,0.001526,-15.089647
2.99,-14.998093,-5.3,-4.5,-5.291112,-10.809079,-9.697108,-19.395743,7.591363,0.001526,-11.805905
3,-14.998093,-7.02,-4.5,-2.893127,-7.663661,-7.978943,-15.959411,7.591363,0.001526,-8.369574
3.01,-14.998093,-8.78,-4.5,-1.963296,-4.436029,-6.218051,-12.437629,7.591363,0.001526,-4.847791
3.02,-14.998093,-10.5,-4.25,-0.47787,-1.294686,-4.496834,-8.995193,7.591363,0.001526,-1.405356
3.03,-14.998093,-12.14,-3.875,0.918316,1.694663,-2.858015,-5.717556,7.591363,0.001526,1.872282
3.04,-14.998093,-13.68,-3.625,2.13602,4.529965,-1.316854,-2.635233,7.591363,0.001526,4.954604
3.05,-14.998093,-15.06,-3.125,2.973732,7.075466,0.062562,0.123598,7.591363,0.001526,7.713436
3.06,-14.998093,-16.26,-2.75,4.54552,9.276494,1.261921,2.522316,7.591363,0.001526,10.112154
3.07,-14.998093,-17.22,-2.25,6.943505,11.011816,2.223239,4.444953,7.591363,0.001526,12.034791
3.08,-14.998093,-17.86,-1.5,8.544081,12.192188,2.861067,5.720607,7.591363,0.001526,13.310445
3.09,-14.998093,-18.12,-0.5,9.468154,12.640065,3.12047,6.239414,7.591363,0.001526,13.829252
3.1,-14.998093,-18.02,0.375,8.544081,12.498703,3.022812,6.044099,7.591363,0.001526,13.633936
3.11,-14.998093,-17.62,1.25,7.533645,11.755496,2.623026,5.244526,7.591363,0.001526,12.834363
3.12,-14.998093,-17.02,1.75,6.451241,10.656264,2.02182,4.042115,7.591363,0.001526,11.631952
3.13,-14.998093,-16.26,2.125,4.240374,9.261987,1.261921,2.522316,7.591363,0.001526,10.112154
3.14,-14.998093,-15.44,2.125,3.048579,7.773047,0.440986,0.880446,7.591363,0.001526,8.470283
3.15,-14.998093,-14.58,2.125,2.602375,6.178576,-0.416571,-0.834668,7.591363,0.001526,6.755169
3.16,-14.998093,-13.7,2.125,2.084203,4.582651,-1.298543,-2.598611,7.591363,0.001526,4.991226
3.17,-14.998093,-12.82,2.125,1.376035,2.939806,-2.177462,-4.356451,7.591363,0.001526,3.233387
3.18,-14.998093,-11.98,2,0.653472,1.443615,-3.016709,-6.034943,7.591363,0.001526,1.554894
3.19,-14.998093,-11.18,1.875,-0.025909,-0.04978,-3.819333,-7.640192,7.591363,0.001526,-0.050355
3.2,-14.998093,-10.44,1.75,-0.711047,-1.393835,-4.55787,-9.117266,7.591363,0.001526,-1.527428
3.21,-14.998093,-9.8,1.625,-1.088161,-2.589373,-5.198749,-10.399023,7.591363,0.001526,-2.809186
3.22,-14.998093,-9.28,1.25,-1.465275,-3.533246,-5.717556,-11.436637,7.591363,0.001526,-3.846799
3.23,-14.998093,-8.88,0.875,-1.747391,-4.232628,-6.117342,-12.23621,7.591363,0.001526,-4.646372
3.24,-14.998093,-8.6,0.625,-1.937388,-4.78038,-6.398108,-12.797742,7.591363,0.001526,-5.207904
3.25,-14.998093,-8.46,0.25,-2.012235,-5.027763,-6.538491,-13.078508,7.591363,0.001526,-5.48867
3.26,-14.998093,-8.44,-0.125,-2.199352,-5.079154,-6.556802,-13.115129,7.591363,0.001526,-5.525292
3.27,-14.998093,-8.52,-0.25,-2.084203,-4.929767,-6.477455,-12.956435,7.591363,0.001526,-5.366598
3.28,-14.998093,-8.68,-0.375,-2.032386,-4.625117,-6.318761,-12.639048,7.591363,0.001526,-5.04921
3.29,-14.998093,-8.88,-0.5,-1.776178,-4.232628,-6.117342,-12.23621,7.591363,0.001526,-4.646372
3.3,-14.998093,-9.12,-0.5,-1.655272,-3.833047,-5.879301,-11.760128,7.591363,0.001526,-4.170291
3.31,-14.998093,-9.38,-0.625,-1.514214,-3.335249,-5.616846,-11.235218,7.591363,0.001526,-3.64538
3.32,-14.998093,-9.64,-0.625,-1.304066,-2.888146,-5.357443,-10.716411,7.591363,0.001526,-3.126574
3.33,-14.998093,-9.88,-0.625,-1.013314,-2.438438,-5.119402,-10.24033,7.591363,0.001526,-2.650492
3.34,-14.998093,-10.1,-0.5,-0.831954,-2.040973,-4.89662,-9.794766,7.591363,0.001526,-2.204929
3.35,-14.998093,-10.3,-0.375,-0.70529,-1.644298,-4.698253,-9.398032,7.591363,0.001526,-1.808194
3.36,-14.998093,-10.48,-0.375,-0.549838,-1.343629,-4.518196,-9.037919,7.591363,0.001526,-1.448081
3.37,-14.998093,-10.6,-0.25,-0.428931,-1.096546,-4.399176,-8.799878,7.591363,0.001526,-1.21004
3.38,-14.998093,-10.68,-0.125,-0.356963,-0.945517,-4.316777,-8.63508,7.591363,0.001526,-1.045243
3.39,-14.998093,-10.72,0,-0.336812,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.4,-14.998093,-10.74,0,-0.382872,-0.846794,-4.258793,-8.519112,7.591363,0.001526,-0.929274
3.41,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.42,-14.998093,-10.7,0,-0.382872,-0.946417,-4.298466,-8.598459,7.591363,0.001526,-1.008621
3.43,-14.998093,-10.7,0,-0.336812,-0.945517,-4.298466,-8.598459,7.591363,0.001526,-1.008621
3.44,-14.998093,-10.7,0,-0.403023,-0.945517,-4.298466,-8.598459,7.591363,0.001526,-1.008621
3.45,-14.998093,-10.7,0,-0.319539,-0.946117,-4.298466,-8.598459,7.591363,0.001526,-1.008621
3.46,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.47,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.48,-14.998093,-10.72,0,-0.382872,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.49,-14.998093,-10.72,0,-0.40878,-0.895468,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.5,-14.998093,-10.72,0,-0.356963,-0.89689,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.51,-14.998093,-10.72,0,-0.356963,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.52,-14.998093,-10.72,0,-0.336812,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.53,-14.998093,-10.72,0,-0.36272,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.54,-14.998093,-10.72,0,-0.336812,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.55,-14.998093,-10.72,0,-0.319539,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.56,-14.998093,-10.72,0,-0.382872,-0.89689,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.57,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.58,-14.998093,-10.72,0,-0.382872,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.59,-14.998093,-10.72,0,-0.336812,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.6,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.61,-14.998093,-10.72,0,-0.40878,-0.892358,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.62,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.63,-14.998093,-10.72,0,-0.339691,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.64,-14.998093,-10.72,0,-0.356963,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.65,-14.998093,-10.72,0,-0.382872,-0.895468,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.66,-14.998093,-10.72,0,-0.382872,-0.896606,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.67,-14.998093,-10.72,0,-0.382872,-0.895184,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.68,-14.998093,-10.72,0,-0.382872,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.69,-14.998093,-10.72,0,-0.336812,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.7,-14.998093,-10.72,0,-0.336812,-0.895468,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.71,-14.998093,-10.72,0,-0.388629,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.72,-14.998093,-10.72,0,-0.339691,-0.895468,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.73,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.74,-14.998093,-10.72,0,-0.36272,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.75,-14.998093,-10.72,0,-0.36272,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.76,-14.998093,-10.72,0,-0.382872,-0.896321,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.77,-14.998093,-10.72,0,-0.36272,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.78,-14.998093,-10.72,0,-0.382872,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.79,-14.998093,-10.72,0,-0.382872,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.8,-14.998093,-10.72,0,-0.356963,-0.896037,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.81,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.82,-14.998093,-10.72,0,-0.377114,-0.896606,-4.277104,-8.555734,7.591363,0.001526,-0.965896
3.83,-14.998093,-10.72,0,-0.36272,-0.895753,-4.277104,-8.555734,7.591363,0.001526,-0.965896
