TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output		TimeStamp	Position	Reference
59.65	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.65	0	0.001526
59.66	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.66	0	0.001526
59.67	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.67	0	0.001526
59.68	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.68	0	0.001526
59.68	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.68	0	0.001526
59.69	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.69	0	0.001526
59.7	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.7	0	0.001526
59.71	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.71	0	0.001526
59.72	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.72	0	0.001526
59.73	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.73	0	0.001526
59.74	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.74	0	0.001526
59.75	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.75	0	0.001526
59.76	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.76	0	0.001526
59.77	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.77	0	0.001526
59.78	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.78	0	0.001526
59.79	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.79	0	0.001526
59.8	0.001526	0	0	0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.8	0	0.001526
59.81	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.81	0	0.001526
59.82	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.82	0	0.001526
59.83	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.83	0	0.001526
59.84	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.84	0	0.001526
59.84	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.84	0	0.001526
59.85	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.85	0	0.001526
59.86	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.86	0	0.001526
59.87	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.87	0	0.001526
59.88	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.88	0	0.001526
59.89	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.89	0	0.001526
59.9	0.001526	0	0	0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.9	0	0.001526
